name,category,calories,protein,carbs,fat,fiber,standardUnit

กะทิ ผง,single_dish,677.61,8,31.45,57.76,2.01,ถ้วยตวง
กะทิพริกแกงห่อหมก สุก,single_dish,299.96,5.61,16.34,23.57,4.88,ถ้วยตวง
กะบับ / เคบับ เนื้อ,single_dish,204.45,27.67,13.19,4.56,3.15,ถ้วยตวง
กะปิ,single_dish,20.3,1.11,3.23,0.33,0,ช้อนโต๊ะ
กะปิคั่ว,single_dish,469.27,19.09,19.96,34.79,4.1,ถ้วยตวง
กะปิ คุณภาพดี เค็มน้อย,single_dish,164.18,28.8,9.3,1.31,0,ถ้วยตวง
กะปิเคย คุณภาพรอง,single_dish,11.93,1.95,0.66,0.17,0.28,ช้อนโต๊ะ
กะปิ ทำแกง นครศรีธรรมราช,single_dish,169.79,4.87,34.53,1.36,0,ถ้วยตวง
กะปิปลา / เคยปลา คุณภาพรอง เค็มมาก,fruit,99.48,3.7,19.62,0.69,7.14,ถ้วยตวง
กะปิปลา / เคยปลา เค็มกลาง,fruit,196.28,16.07,13.52,8.66,0,ถ้วยตวง
กะปิปลา / เคยปลา เค็มน้อย,fruit,244.26,16.74,26.4,7.97,0,ถ้วยตวง
กะปิปลา / เคยปลา เฉลี่ย,fruit,175.62,12.17,18.75,5.77,2.38,ถ้วยตวง
กาแฟดำ ไม่ใส่น้ำตาล พร้อมดื่ม,single_dish,11.32,0.39,2.43,0,0,ถ้วยตวง
กาแฟ ปรุงสำเร็จชนิดผง 3 อิน 1 (ตรา เนสกาแฟ),single_dish,71.71,1.63,13.66,1.17,0.82,ชิ้น (กลาง)
กาแฟ ผง,single_dish,340.9,11.8,73.2,0.1,0,ถ้วยตวง
กาแฟ พร้อมดื่ม กาแฟดำ (ตรา เบอร์ดี้),single_dish,85.44,0.5,20.85,0,0,ถ้วยตวง
กาแฟ พร้อมดื่ม สูตรคลาสสิค (ตรา เบอร์ดี้),single_dish,117.45,2.37,22.5,2,0.13,ถ้วยตวง
กาแฟ พร้อมดื่ม สูตรมิลค์กี้ (ตรา เบอร์ดี้),single_dish,138.54,3.19,24.28,3.19,0.17,ถ้วยตวง
กาแฟ พร้อมดื่ม สูตรริชแอนด์สมูท (ตรา เบอร์ดี้),single_dish,121.49,1.8,24.99,1.59,0,ถ้วยตวง
กาแฟ พร้อมดื่ม สูตรโรบัสต้า (ตรา เบอร์ดี้),single_dish,114.14,1.77,23.71,1.36,0.08,ถ้วยตวง
กาแฟ พร้อมดื่ม สูตรลาเต้ (ตรา เนสกาแฟ),single_dish,109.27,2.48,21.05,1.68,0.13,ถ้วยตวง
กาแฟ พร้อมดื่ม สูตรเอสเปรสโซ โรสต์ (ตรา เนสกาแฟ),single_dish,114.22,2.12,24.03,1.07,0.08,ถ้วยตวง
กาแฟใส่น้ำตาล (โอเลี้ยง) พร้อมดื่ม,single_dish,121.42,0.43,29.92,0,0,ถ้วยตวง
เกลือบริสุทธิ์ ป่น แห้ง,single_dish,0,0,0,0,0,ช้อนโต๊ะ
เกลือสมุทร ป่นละเอียด แห้ง,single_dish,0,0,0,0,0,ช้อนโต๊ะ
เกลือสมุทร ป่นหยาบ ชื้น,single_dish,0,0,0,0,0,ถ้วยตวง
เครื่องดื่มเกลือแร่ (ตรา สปอร์นเซอร์),single_dish,107.42,0,26.85,0,0,ถ้วยตวง
เครื่องดื่มเกลือแร่ (ตรา เอ็มสปอร์ต พลัส),single_dish,104.06,0,26.02,0,0,ถ้วยตวง
เครื่องดื่มชูกำลัง (ตรา คาราบาวแดง),single_dish,156.68,0,39.17,0,0,ถ้วยตวง
เครื่องดื่มชูกำลัง (ตรา เอ็ม-150),single_dish,167.84,0,41.96,0,0,ถ้วยตวง
เครื่องดื่มธัญญาหาร สำเร็จรูป ชนิดผง รสดั้งเดิม (ตรา เนสวิต้า),single_dish,382.19,9.4,72.06,6.26,3.13,ถ้วยตวง
"เครื่องดื่มธัญญาหาร สำเร็จรูป ชนิดผง สูตรมังสวิรัติ โปรตีนถั่วเหลือง (แคลเซียม วิตามินอี วิตามินซี สูง, ไขมันต่ำ) (ตรา เนสวิต้า)",single_dish,413.57,6.27,68.93,12.53,6.27,ถ้วยตวง
เครื่องดื่มมอลต์ รสช็อกโกแลต ชนิดผง,single_dish,399.53,12.01,74.13,6.11,0,ถ้วยตวง
เครื่องดื่มมอลต์ รสช็อกโกแลต ปรุงสำเร็จชนิดผง 3 อิน 1 (ตรา ไมโล แอคทีฟ-บี),single_dish,142,4,27,2,0.46,ชิ้น (กลาง)
เครื่องดื่มรสมะนาวโซดา (ตรา ชเวปส์),single_dish,105.91,0,26.48,0,0,ถ้วยตวง
ชาผง สำเร็จรูป รสมะนาว ไม่ใส่น้ำตาล,single_dish,345.3,7.4,78.52,0.18,5,ถ้วยตวง
ชาผง สำเร็จรูป รสมะนาว ใส่น้ำตาล,single_dish,401.25,0.12,98.55,0.73,0.7,ถ้วยตวง
ชาผง สำเร็จรูป รสมะนาว ใส่สารทดแทนน้ำตาล (sodium saccharin),single_dish,360.2,3.3,85.4,0.6,0,ถ้วยตวง
โชยุ,single_dish,9.68,1.24,1.18,0,0,ช้อนโต๊ะ
ซอสปรุงรส เกรด 1,single_dish,128.61,27.38,4.32,0.2,0,ถ้วยตวง
ซอสผัดไทย,single_dish,562.27,6.54,95.2,17.25,17.37,ถ้วยตวง
ซอสพริก,single_dish,250.7,1.9,57.2,1.59,0,ถ้วยตวง
ซอสพริกไทยดำ,single_dish,387.07,11.47,85.3,0,0,ถ้วยตวง
