name,category,calories,protein,carbs,fat,fiber,standardUnit

ครีมเทียม / คอฟฟีเมท ผง,fat,559.93,1.98,56.46,36.24,0,ถ้วยตวง
น้ำมันไก่,fat,1634.72,0,0,181.64,0,ถ้วยตวง
น้ำมันข้าวโพด ผ่านกรรมวิธี 100%,fat,1663.2,0,0,184.8,0,ถ้วยตวง
น้ำมันคาโนลา / น้ำมันเรพสีด,fat,1559.4,0,19.32,164.68,0,ถ้วยตวง
น้ำมันงา,fat,1596.6,0,0,177.4,0,ถ้วยตวง
น้ำมันถั่วลิสง,fat,1582.2,0,0,175.8,0,ถ้วยตวง
น้ำมันถั่วเหลือง,fat,1634.4,0,0,181.6,0,ถ้วยตวง
น้ำมันปลา,fat,1603.33,0,0.45,177.95,0,ถ้วยตวง
น้ำมันปลาทูน่า,fat,1585.98,0,3.92,174.48,0,ถ้วยตวง
น้ำมันปาล์มโอเลอิน,fat,1603.8,0,0,178.2,0,ถ้วยตวง
น้ำมันมะกอก,fat,1620,0,0,180,0,ถ้วยตวง
น้ำมันมะพร้าว,fat,1620,0,0,180,0,ถ้วยตวง
น้ำมันเมล็ดชา,fat,1497.08,0,20.62,157.18,0,ถ้วยตวง
น้ำมันเมล็ดดอกทานตะวัน,fat,1610.1,0,0,178.9,0,ถ้วยตวง
น้ำมันเมล็ดทานตะวัน ผ่านกรรมวิธี 100%,fat,1581.7,0,0,175.74,0,ถ้วยตวง
น้ำมันรำข้าว,fat,1634.4,0,0,181.6,0,ถ้วยตวง
น้ำมันหมู,fat,1638,0,0,182,0,ถ้วยตวง
น้ำมันอีฟนิ่ง พรีมโรส,fat,1656,0,0,184,0,ถ้วยตวง
เนยขาว,fat,1568.97,0,0,174.33,0,ถ้วยตวง
เนยขาว สำหรับทำขนมเค้ก,fat,1536.84,0,0,170.76,0,ถ้วยตวง
เนยขาว สำหรับทำขนมปัง,fat,1536.84,0,0,170.76,0,ถ้วยตวง
เนยขาว สำหรับทำลูกกวาด (แฟรกชั่นเนท),fat,1634.31,0,0,181.59,0,ถ้วยตวง
เนยขาว สำหรับทำลูกกวาด (ไฮโดจีเนท),fat,1536.84,0,0,170.76,0,ถ้วยตวง
เนยแข็ง / กรูแยร์ชีส,fat,452.91,32.79,0.4,35.57,0,ถ้วยตวง
เนยแข็ง / เกาด้าชีส,fat,391.16,27.43,2.44,30.18,0,ถ้วยตวง
เนยแข็ง / ครีม ค้อตเตจชีส,fat,181.31,20.85,6.34,8.06,0,ถ้วยตวง
เนยแข็ง / ครีมชีส,fat,673.1,11.46,7.87,66.2,0,ถ้วยตวง
เนยแข็ง / ครีมชีส ไขมันต่ำ,fat,402.88,15.7,16.26,30.56,0,ถ้วยตวง
เนยแข็ง / ครีมชีส ไม่มีไขมัน,fat,236.2,36.19,17.67,2.31,0,ถ้วยตวง
เนยแข็ง / คาร์เมมเบิตชีส,fat,613.73,40.59,0.94,49.73,0,ถ้วยตวง
เนยแข็ง / เชดด้าชีส,fat,418.07,21.73,12.83,31.09,0,ถ้วยตวง
เนยแข็ง / เชดด้าชีส ไขมันต่ำ,fat,265.21,22.22,7.7,16.17,0,ถ้วยตวง
เนยแข็ง / เชดด้าชีส ไม่มีไขมัน,fat,172.83,35.35,7.85,0,0,ถ้วยตวง
เนยแข็ง / เนมชีส,fat,284.06,16.96,3.01,22.68,0,ถ้วยตวง
เนยแข็ง / บรีชีส,fat,400.7,24.9,0.54,33.22,0,ถ้วยตวง
เนยแข็ง / บลูชีส,fat,397.82,24.07,2.63,32.33,0,ถ้วยตวง
เนยแข็ง / พาเมซานชีส ชนิดแท่ง,fat,40,3.68,0.33,2.66,0,ชิ้น (เล็ก)
เนยแข็ง / พาเมซานชีส ชนิดผง,fat,349.89,23.68,11.59,23.2,0,ถ้วยตวง
เนยแข็ง / พาเมซานชีส ชนิดเส้น,fat,342.6,31.55,2.84,22.78,0,ถ้วยตวง
เนยแข็ง / โพรเซสเชดด้าชีส กลิ่นรมควัน,fat,333.08,18.92,2.97,27.28,0,ถ้วยตวง
เนยแข็ง / ฟอนติน่าชีส,fat,427.75,28.16,1.71,34.25,0,ถ้วยตวง
เนยแข็ง / เฟต้าชีส,fat,330.9,17.76,5.11,26.6,0,ถ้วยตวง
เนยแข็ง / มอสซาเลลาชีส,fat,278.67,20.69,2.04,20.86,0,ถ้วยตวง
เนยแข็ง / มอสซาเลลาชีส ไขมันต่ำ,fat,234.63,22.64,2.59,14.86,0,ถ้วยตวง
เนยแข็ง / มอสซาเลลาชีส ไม่มีไขมัน,fat,132.59,29.85,3.3,0,1.7,ถ้วยตวง
เนยแข็ง / อีดัมชีส,fat,391.47,27.49,1.57,30.58,0,ถ้วยตวง
เนย ถั่วลิสง ละเอียด,fat,1485.62,51.75,56.59,116.91,13.45,ถ้วยตวง
เนย ถั่วลิสง หยาบ,fat,1491.47,56.78,50.91,117.86,18.88,ถ้วยตวง
เนยสด เค็ม,fat,1359.34,1.1,0,150.55,0,ถ้วยตวง
เนยสด จืด,fat,1353.83,1.27,0.79,149.51,0,ถ้วยตวง
มันหมูแข็ง,fat,1537.5,7.99,0,167.28,0,ถ้วยตวง
มาการีน (เสริมวิตามินเอ),fat,1447.27,0.72,0,160.49,0,ถ้วยตวง
มาการีน อเนกประสงค์,fat,1301.8,0.72,0,144.32,0,ถ้วยตวง
มายองเนส,fat,1041.96,3.13,32.98,99.72,0,ถ้วยตวง
