name,category,calories,protein,carbs,fat,fiber,standardUnit

กล้วยกวน,fruit,801.78,7.59,191.82,0.46,9.66,ถ้วยตวง
กล้วยแขก / กล้วยทอด,fruit,461.9,2.48,102.67,4.59,0,ถ้วยตวง
กล้วยไข่เชื่อม,fruit,84.35,0.42,19.25,0.63,0.59,ชิ้น (กลาง)
กล้วยไข่ สุก,fruit,167.13,2.02,39.4,0.16,2.94,ถ้วยตวง
กล้วยงาช้าง สุก,fruit,202.35,1.5,48.75,0.15,4.2,ถ้วยตวง
กล้วยฉาบ,fruit,268.16,0.78,34.32,14.2,0,ถ้วยตวง
กล้วยต้ม โรยหน้ามะพร้าว,fruit,335.89,1.76,78.99,1.43,5.2,ถ้วยตวง
กล้วยนมสาว สุก,fruit,130.83,1.32,30.72,0.29,10.14,ถ้วยตวง
กล้วยนางพญา สุก,fruit,212.1,2.1,50.25,0.3,11.25,ถ้วยตวง
กล้วยน้ำไทย สุก,fruit,182.79,1.84,43.37,0.22,10.58,ถ้วยตวง
กล้วยน้ำว้า งอม,fruit,175.44,1.48,42.23,0.07,3.54,ถ้วยตวง
กล้วยน้ำว้าเชื่อม,fruit,24.49,0.25,5.18,0.31,0.03,ชิ้น (กลาง)
กล้วยน้ำว้า ดิบ,fruit,178.41,2.04,41.9,0.29,0,ถ้วยตวง
กล้วยน้ำว้า ตาก,fruit,383.18,3.17,92.3,0.14,9.1,ถ้วยตวง
กล้วยน้ำว้า สุก,fruit,180.51,1.15,43.49,0.22,3.52,ถ้วยตวง
กล้วยน้ำว้า ห่าม,fruit,189.86,1.5,45.96,0,3.16,ถ้วยตวง
กล้วยบวชชี หวาน ไขมันต่ำ,fruit,453.97,3.05,51.6,26.15,4.49,ถ้วยตวง
กล้วยบวชชี หวานน้อย ไขมันต่ำ,fruit,450.09,4.22,45.73,27.81,4.62,ถ้วยตวง
กล้วยบวชชี หวาน มัน,fruit,235.48,1.48,47.26,4.5,5.06,ถ้วยตวง
กล้วยพันธุ์ต่างๆ อบกรอบ รสธรรมชาติ,fruit,233.74,1.81,39.99,7.4,3.78,ถ้วยตวง
กล้วยเล็บมือนาง สุก,fruit,12.15,0.27,2.7,0.03,0.22,ชิ้น (เล็ก)
กล้วยสุก (กะเหรี่ยงเมืองกาญฯ),fruit,100,0.9,24.1,0,1.5,ถ้วยตวง
กล้วยหอม ทอดกรอบ รสต่างๆ,fruit,300.92,1.51,26.81,20.85,2.31,ถ้วยตวง
กล้วยหอม สุก,fruit,152.24,1.77,35.92,0.17,2.31,ถ้วยตวง
กล้วยหักมุก สุก,fruit,68.15,0.46,16.18,0.17,2.96,ชิ้น (กลาง)
กล้วยหิน,fruit,66.93,0.64,15.31,0.35,0,ชิ้น (กลาง)
ก้อยจิ้งหรีดใส่มะม่วง,fruit,196.5,16.06,20.83,5.44,4.85,ถ้วยตวง
แกงกบใส่มะละกอ (ไม่ใส่กะทิ อาหารอีสาน),fruit,54.1,5.12,6.56,0.82,2.59,ถ้วยตวง
แกงตูนใส่มะละกอ,fruit,57.26,6.39,5.25,1.19,1.28,ถ้วยตวง
แกงส้มป่อย (กะเหรี่ยงเมืองกาญฯ),fruit,15.57,1.73,1.51,0.29,0.1,ถ้วยตวง
แกงหยวกกล้วย (กะเหรี่ยงเมืองกาญฯ),fruit,32.76,2.31,1.56,1.92,0.06,ถ้วยตวง
แก้วมังกร เนื้อสีขาว,fruit,33.04,0.71,6.69,0.38,1.04,ทัพพี
แก้วมังกร เนื้อสีชมพู,fruit,36.5,0.71,7.18,0.55,1.64,ทัพพี
คั่วกบใส่มะละกอ,fruit,56.07,8.74,4.39,0.4,2.06,ถ้วยตวง
แคนตาลูป,fruit,30.1,0.76,6.48,0.13,0.89,ถ้วยตวง
แคนตาลูป เนื้อสีเขียว สุก,fruit,38.61,0.64,9.02,0,0.76,ถ้วยตวง
แคนตาลูป เนื้อสีเหลือง สุก,fruit,39.24,0.64,8.89,0.13,1.65,ถ้วยตวง
แคนตาลูป อบแห้ง,fruit,588.58,6.54,139.84,0.34,14.96,ถ้วยตวง
เงาะ,fruit,105.21,1.33,24.55,0.19,2.23,ถ้วยตวง
เงาะ ในน้ำเชื่อม บรรจุกระป๋อง,fruit,139.9,0.41,28.77,2.58,0.82,ถ้วยตวง
เงาะป่า (โผ่ซุ่ซา) (กะเหรี่ยงเมืองกาญฯ),fruit,76.5,1,17.9,0.1,0.8,ถ้วยตวง
เงาะ เมล็ด ต้ม,fruit,556.04,9.51,38.88,40.28,0,ถ้วยตวง
เงาะโรงเรียน,fruit,107.05,1.28,25.09,0.18,2.2,ถ้วยตวง
เงาะสีชมพู,fruit,101.13,1.45,22.97,0.38,1.58,ถ้วยตวง
เงาะไส้สับปะรด ในน้ำเชื่อม บรรจุกระป๋อง,fruit,129.24,0.58,28.24,1.55,0.78,ถ้วยตวง
ชมพู่แก้มแหม่ม,fruit,19.84,0.36,4.6,0,0.52,ถ้วยตวง
ชมพู่เขียว,fruit,40.53,0.56,9.48,0.04,1.33,ถ้วยตวง
ชมพู่แขกดำ,fruit,28.56,0.73,6.41,0,0.83,ถ้วยตวง
ชมพู่ทับทิมจันทร์,fruit,58.05,0.55,13.57,0.18,1.5,ถ้วยตวง
ชมพู่ทูลเกล้า,fruit,44.46,0.6,10.24,0.12,1.29,ถ้วยตวง
ชมพู่นาค,fruit,32.67,0.36,7.8,0,0.83,ถ้วยตวง
ชมพู่เมืองเพชร,fruit,34.36,0.6,7.99,0,1.33,ถ้วยตวง
ชมพู่สาแหรก,fruit,36.27,0,8.81,0.11,0.94,ถ้วยตวง
ชมพู่สีชาด,fruit,23.71,0.46,5.47,0,0.62,ถ้วยตวง
