name,category,calories,protein,carbs,fat,fiber,standardUnit

กบ เนื้อ ดิบ,meat,116.59,27.38,0,0.79,0,ถ้วยตวง
กระต่าย เนื้อ ดิบ,meat,168.48,29.97,0,5.4,0,ถ้วยตวง
ก๋วยเตี๋ยว เส้นปลา / ปลาสายฝน ลวก,meat,78.1,14.03,3.71,0.8,1.01,ถ้วยตวง
กั้ง เนื้อ ดิบ,meat,116.72,25.97,2.87,0.15,0,ถ้วยตวง
กุ้งก้ามกราม ดิบ,meat,163.23,27.03,1.21,5.59,0,ถ้วยตวง
กุ้งก้ามกราม ตัวเมีย / กุ้งนาง นึ่ง,meat,47.13,9.16,0.25,1.05,0,ทัพพี
กุ้งก้ามกราม ตัวเมีย / กุ้งนาง เผา,meat,47.6,8.94,0.4,1.13,0,ทัพพี
กุ้งก้ามกราม มีไข่ เผา,meat,140.73,23.21,1.06,4.85,0,ถ้วยตวง
กุ้งก้ามกราม ไม่มีไข่ เผา,meat,157.81,27.19,1.02,5,0,ถ้วยตวง
กุ้งกุลาดำ เนื้อ แช่แข็ง,meat,133.03,30.2,0,1.36,0,ถ้วยตวง
กุ้งกุลาดำ เนื้อ ดิบ,meat,139.07,30.35,0,1.96,0,ถ้วยตวง
กุ้งกุลาดำ เนื้อ ต้ม,meat,117.63,26.89,0,1.12,0,ถ้วยตวง
กุ้งกุลาดำ เนื้อส่วนหัว,meat,180.6,21.59,8.61,6.64,0,ถ้วยตวง
กุ้งกุลาดำ พร้อมหาง ต้ม,meat,117.03,26.88,0,1.06,0,ถ้วยตวง
กุ้งกุลาลาย (กุ้งทะเล) ดิบ,meat,121.59,26.06,1.33,1.33,0,ถ้วยตวง
กุ้งเคย (น้ำเค็ม) ดิบ,meat,58.33,11.4,1.04,0.95,0,ถ้วยตวง
กุ้งจ่อม,meat,54.7,10.08,1.78,0.81,1.71,ถ้วยตวง
กุ้งแช่น้ำปลา,meat,130.6,20.44,9.81,1.07,2.89,ถ้วยตวง
