name,category,calories,protein,carbs,fat,fiber,standardUnit

เบอร์เกอร์ ชีส,meaet,214.58,15.44,18.02,8.97,0.16,ถ้วยตวง
ปลาร้าเจ,meat,476.28,27.26,60.63,13.86,23.08,ถ้วยตวง
เต้าหู้ขาวแข็ง นึ่ง / ลวก,meat,154.45,16.24,4.98,7.73,2.33,ถ้วยตวง
เต้าหู้เหลืองแข็ง นึ่ง / ลวก,meat,156.41,15.98,4.85,8.12,2.49,ถ้วยตวง
เต้าหู้ แห้ง,meat,179.29,18.85,2.11,10.61,0,ถ้วยตวง
แมคคาเดเมีย เฉพาะเนื้อ,meat,856.17,9.35,18.67,82.68,11.4,ถ้วยตวง
มะนาว ผล (เนื้อ น้ำ),meat,96.76,1.02,12.09,4.92,4.1,ถ้วยตวง
ถั่วลันเตา เมล็ด บรรจุกระป๋อง เนื้อ น้ำ,meat,32.91,1.69,5.94,0.27,1.85,ทัพพี
ผำ / ไข่น้ำ / ไข่แหน,meat,8.91,0.66,1.32,0.11,0.99,ถ้วยตวง
ฟักข้าว ใบและยอด (บ่ายไข่ดุ) ต้ม (กะเหรี่ยงเมืองกาญฯ),meat,48.6,5.6,4.3,1,4.3,100 กรัม
กล้วยไข่ สุก,meat,167.13,2.02,39.4,0.16,2.94,ถ้วยตวง
แตงโม เนื้อแดง,meat,50.24,1.08,11.27,0.09,0.46,ถ้วยตวง
มะพร้าว เนื้ออ่อน,meat,74.15,2.06,6.56,4.41,2.35,ถ้วยตวง
แก้วมังกร เนื้อสีขาว,meat,33.04,0.71,6.69,0.38,1.04,ทัพพี
ตาล เนื้อสีเหลือง ยี,meat,16.14,0.46,3.16,0.18,2.18,ทัพพี
มะม่วงตับเป็ด สุก,meat,129.88,1.49,30.98,0,0,ถ้วยตวง
แคนตาลูป เนื้อสีเขียว สุก,meat,38.61,0.64,9.02,0,0.76,ถ้วยตวง
แคนตาลูป เนื้อสีเหลือง สุก,meat,39.24,0.64,8.89,0.13,1.65,ถ้วยตวง
แตงโม เนื้อเหลือง,meat,44.34,0.67,10.11,0.13,1.35,ถ้วยตวง
แก้วมังกร เนื้อสีชมพู,meat,36.5,0.71,7.18,0.55,1.64,ทัพพี
เสาวรส / แพชชั่นฟรุท ผล เนื้อภายนอก,meat,49.5,1.3,10.4,0.3,3.8,100 กรัม
แห้ว บรรจุกระป๋อง เฉพาะเนื้อ,meat,3.95,0.06,0.92,0,0.23,ช้อนโต๊ะ
กบ เนื้อ ดิบ,meat,116.59,27.38,0,0.79,0,ถ้วยตวง
ไก่ กึ๋น ดิบ,meat,113.16,22.75,0,2.46,0,ถ้วยตวง
ไก่ ตับ ดิบ,meat,149.46,22.37,0,6.66,0,ถ้วยตวง
ไก่ ปีก ดิบ,meat,286.44,22.31,0,21.91,0,ถ้วยตวง
ไก่ ลำไส้ ดิบ,meat,60.05,6.73,1.01,3.23,0,ถ้วยตวง
ไก่ หนัง ดิบ,meat,454.28,63.75,0,22.14,0,ถ้วยตวง
ไก่ หัวใจ ดิบ,meat,149.44,19.68,2.46,6.76,0,ถ้วยตวง
ไก่ เนื้อ ดิบ,meat,251.64,23.36,1.89,16.74,0,ถ้วยตวง
ไก่ สะโพก ดิบ,meat,285.66,21.06,2.97,21.06,0,ถ้วยตวง
ไก่ น่อง ดิบ,meat,181.79,25.04,0.19,8.99,0,ถ้วยตวง
ไก่ อก ดิบ,meat,206.55,26.73,0,11.07,0,ถ้วยตวง
ไก่ เครื่องใน ดิบ (ค่าเฉลี่ยจากตับ 50% กึ๋น 40% หัวใจ 10%),meat,148.63,24.47,0.27,5.52,0,ถ้วยตวง
ไก่ เลือด ดิบ,meat,165,40,0.8,0.2,0,ถ้วยตวง
ควาย เนื้อ ดิบ,meat,159.71,24.6,0,6.81,0,ถ้วยตวง
นก เนื้อ ดิบ,meat,147.15,34.97,0,0.81,0,ถ้วยตวง
นกกระจอก เนื้อและกระดูก ดิบ,meat,160.65,26.19,0,6.21,0,ถ้วยตวง
เป็ด กึ๋น ดิบ,meat,133.09,27.18,0,2.71,0,ถ้วยตวง
เป็ด ตับ ดิบ,meat,138.28,18.56,5.83,4.52,0,ถ้วยตวง
เป็ด ย่าง,meat,205.54,24.97,1.03,11.29,0,ถ้วยตวง
เป็ด ลำไส้ ดิบ,meat,43.51,6.68,0.27,1.75,0,ถ้วยตวง
เป็ด เครื่องใน ดิบ (ค่าเฉลี่ยจากตับ 50% กึ๋น 50%),meat,149.23,25.07,3.26,3.99,0,ถ้วยตวง
เป็ด เนื้อ หนังและเครื่องใน ดิบ,meat,433.89,21.6,0,38.61,0,ถ้วยตวง
เป็ด ขา ดิบ,meat,179.82,26.73,0,8.1,0,ถ้วยตวง
เป็ด อก ดิบ,meat,146.48,31.46,0,2.29,0,ถ้วยตวง
เป็ด เลือด ต้ม,meat,36.99,8.91,0,0.15,0,ถ้วยตวง
วัว กระเพาะ ดิบ,meat,105.17,17.81,0,3.77,0,ถ้วยตวง
วัว ตับ ดิบ,meat,191.91,30.13,5.76,5.37,0,ถ้วยตวง
วัว ปอด ดิบ,meat,75.16,15.28,0,1.56,0,ถ้วยตวง
วัว ผ้าขี้ริ้ว ดิบ,meat,39.52,9.62,0.26,0,0,ถ้วยตวง
วัว ม้าม ดิบ,meat,118.69,22.36,2.34,2.21,0,ถ้วยตวง
วัว ลำไส้ ดิบ,meat,175.63,18.85,0.78,10.79,0,ถ้วยตวง
วัว ลูกชิ้น ต้ม,meat,109.07,21.45,3.77,0.91,0,ถ้วยตวง
วัว ลิ้น ดิบ,meat,273.39,25.09,0.26,19.11,0,ถ้วยตวง
วัว สมอง ดิบ,meat,196.1,15.98,0.74,14.36,0,ถ้วยตวง
วัว หัวใจ ดิบ,meat,147.94,18.72,1.3,7.54,0,ถ้วยตวง
"วัว เครื่องใน ดิบ (ค่าเฉลี่ยจาก 6 อย่าง เท่าๆ กัน ตับ, ปอด, ผ้าขี้ริ้ว, ลำไส้, หัวใจ, ม้าม)",meat,120.94,18.55,1.62,4.47,0,ถ้วยตวง
วัว เนื้อ ติดมัน ดิบ,meat,323.92,20.81,0,26.74,0,ถ้วยตวง
วัว เนื้อ มันมาก ดิบ,meat,448.79,18.27,0,41.74,0,ถ้วยตวง
วัว เนื้อ ไม่ติดมัน ดิบ,meat,201.27,27.8,0,10.01,0,ถ้วยตวง
วัว เนื้อ ไม่ติดมัน ต้ม,meat,247.56,44.06,0,7.92,0,ถ้วยตวง
วัว เนื้อ ไม่ติดมัน ทอด,meat,236.61,40,0,8.51,0,ถ้วยตวง
วัว เนื้อ ไม่ติดมัน ย่าง,meat,192.71,41.2,0,3.1,0,ถ้วยตวง
วัว เนื้อแห้ง อบ,meat,246.09,40.59,4.32,7.39,0,ถ้วยตวง
วัว เลือด ดิบ,meat,19.41,3.63,1.17,0.02,0,ทัพพี
วัว ไต ดิบ,meat,112.45,20.28,0.52,3.25,0,ถ้วยตวง
หมูป่า เนื้อ ดิบ,meat,187.31,22.18,0,10.96,0,ถ้วยตวง
หมู กระเพาะ ดิบ,meat,128.52,21.42,0,4.76,0,ถ้วยตวง
หมู กุนเชียง,meat,397.82,22.58,7,31.06,0,ถ้วยตวง
หมู เท้า / คากิ,meat,410.01,48.11,0,24.17,0,ถ้วยตวง
หมู ซี่โครง ดิบ,meat,230.77,20.98,0,16.32,0,ถ้วยตวง
หมู ตับ ดิบ,meat,190.73,31.15,3.22,5.92,0,ถ้วยตวง
หมู ตับอ่อน ดิบ,meat,171.02,29.6,2.86,4.58,0,ถ้วยตวง
หมู ปอด ดิบ,meat,139.52,21.1,0.62,5.85,0,ถ้วยตวง
หมู ม้าม ดิบ,meat,133.83,24.79,0,3.85,0,ถ้วยตวง
หมู ยอ,meat,386.62,19.66,3.77,32.55,0,ถ้วยตวง
หมู ย่าง,meat,259.15,28.03,1.6,15.62,0,ถ้วยตวง
หมู ลำไส้เล็ก ดิบ,meat,109.49,19.4,0,3.54,0,ถ้วยตวง
หมู ลิ้น ดิบ,meat,280.13,25.26,2.16,18.94,0,ถ้วยตวง
หมู ส้ม,meat,188.8,29.57,2.94,6.53,0,ถ้วยตวง
หมู หนัง ทอด / แคบหมู แบบมีมัน,meat,232.48,15.1,1.88,18.29,0,ถ้วยตวง
