name,category,calories,protein,carbs,fat,fiber,standardUnit

โกโก้ ผง สำหรับเครื่องดื่มร้อน,milk,428.6,9.4,73.9,10.6,0.8,ถ้วยตวง
คุกกี้บัตเตอร์ ชีส รสกาแฟ / รสวานิลลา,milk,26.48,0.33,3.14,1.4,0.12,ชิ้น
เครื่องดื่มธัญญาหาร 5 ชนิด สูตรผสมข้าวกล้องงอก ชนิดผง (ตรา โอวัลติน เนเจอร์ซีเล็คท์ ไฟว์เกรนส์),milk,119,1,22,3,5,ชิ้น (กลาง)
เครื่องดื่มนมถั่วเหลือง ผสมไวท์มอลต์,milk,884.36,23.3,143.98,23.91,0,ถ้วยตวง
เครื่องดื่มนมถั่วเหลือง เสริมช็อกโกมอลต์,milk,902.27,22.99,146.92,24.74,0,ถ้วยตวง
เครื่องดื่มมอลต์ ไขมันต่ำ ผสมนมและคอลลาเจน ชนิดผง (ตรา โอวัลติน เนเจอร์ซีเล็คท์ ไวท์มอลต์),milk,134,2,27,2,0.46,ชิ้น (กลาง)
เครื่องดื่มมอลต์ รสช็อกโกแลต ชนิดผง (ตรา ไมโล แอคทีฟ-บี),milk,390,10,65,10,2.3,ถ้วยตวง
เครื่องดื่มมอลต์ รสช็อกโกแลต ชนิดผง (ตรา โอวัลติน),milk,382.5,10,80,2.5,2.3,ถ้วยตวง
เครื่องดื่มมอลต์ รสช็อกโกแลต ปรุงสำเร็จชนิดผง 3 อิน 1 (ตรา ดีมอลต์),milk,146.5,2,29,2.5,0.46,ชิ้น (กลาง)
เครื่องดื่มมอลต์ รสช็อกโกแลต ปรุงสำเร็จชนิดผง 3 อิน 1 (ตรา โอวัลติน),milk,138.6,0.94,27.34,2.83,0.43,ชิ้น (กลาง)
เครื่องดื่มมอลต์ รสช็อกโกแลต ปรุงสำเร็จชนิดผง 3 อิน 1 (ตรา โอวัลตินเย็น ครั้นช์ชี่ ช็อกโก),milk,125.5,1,27,1.5,0.46,ชิ้น (กลาง)
เครื่องดื่มมอลต์ รสช็อกโกแลต พาสเจอร์ไรส์,milk,164.33,4.2,26.25,4.73,0.48,ถ้วยตวง
เครื่องดื่มมอลต์ รสช็อกโกแลต ยูเอชที,milk,144.08,3.5,23.33,4.08,1.17,ถ้วยตวง
เครื่องดื่มมอลต์ รสช็อกโกแลต ยูเอชที กลิ่นกล้วยหอม,milk,194.83,2.33,38.5,3.5,2.33,ถ้วยตวง
เครื่องดื่มอัดลมรสนมเปรี้ยว (ตรา คาลพิส แลคโตะ),milk,120.86,0.82,29.39,0,0,ถ้วยตวง
ชาเขียวนม พาสเจอร์ไรส์,milk,201.49,4.18,34.45,5.22,0,ถ้วยตวง
ชานม,milk,38.19,3.36,1.24,2.2,0,ถ้วยตวง
ชานม ปรุงสำเร็จชนิดผง 3 อิน 1 (ตรา เนสที),milk,256,0,64,0,0,ถ้วยตวง
ชานม พร้อมดื่ม,milk,131.05,3,22.48,3.24,0.14,ถ้วยตวง
เต้าหู้นมสดฟรุ้ทสลัด (ผลไม้รวมบนก้อนวุ้นนม) (ตรา ปริญญา),milk,160.81,6.41,17.78,7.11,1.15,ถ้วยตวง
เต้าหู้นมสดใส่แครอทวุ้นมะพร้าว (ก้อนวุ้นนมสดในนมสด) (ตรา ปริญญา),milk,176.7,7.95,16.21,8.9,0.43,ถ้วยตวง
นมข้นจืด,milk,298.59,14.97,20.61,17.36,0,ถ้วยตวง
นมข้นหวาน,milk,890.14,20.64,148.14,23.89,0,ถ้วยตวง
นมข้นหวาน แปลงไขมัน สูตรน้ำมันปาล์มผสมมันเนย,milk,857.92,19.49,147.6,21.06,0,ถ้วยตวง
นมขาดมันเนย พาสเจอร์ไรส์ รสจืด,milk,53.44,8.72,4.15,0.22,0,ถ้วยตวง
นมขาดมันเนย ยูเอชที รสจืด,milk,73.96,5.55,12.94,0,0,ถ้วยตวง
นมขาดมันเนย สเตอริไลส์ รสจืด,milk,71.31,7.43,10.4,0,1.49,ถ้วยตวง
นมคน 1 เดือน,milk,95.22,1.82,12.87,4.05,0,ถ้วยตวง
นมคน 3 เดือน,milk,129.54,2.29,15.52,6.48,0,ถ้วยตวง
นมคน 6 เดือน,milk,100.75,1.63,12.13,5.08,0,ถ้วยตวง
นมควาย,milk,236.55,10.58,8.75,17.7,0,ถ้วยตวง
นมคืนรูป ขาดมันเนย ยูเอชที,milk,60.78,6.72,7.52,0.42,0,ถ้วยตวง
นมคืนรูป พร่องมันเนย ยูเอชที,milk,67.56,6.47,2.86,3.36,0,ถ้วยตวง
นมคืนรูป พร่องมันเนย ยูเอชที รสต่างๆ,milk,86.53,6.24,8.09,3.25,0,ถ้วยตวง
นมคืนรูป ยูเอชที รสจืด,milk,143.73,6.2,13.44,7.24,0,ถ้วยตวง
นมคืนรูป ยูเอชที รสต่างๆ,milk,122.94,6.41,8.27,7.13,0.93,ถ้วยตวง
นมคืนรูป ยูเอชที รสหวาน,milk,154.07,6.2,16.03,7.24,0,ถ้วยตวง
"นมถั่วเหลือง เจ แคลเซียมสูง ผสมงาดำและงาขาว (ตรา วีซอย, สีเทา)",milk,119.39,5.69,11.36,5.69,0,ถ้วยตวง
"นมถั่วเหลือง เจ (ตรา ดีน่า เอ็มเนอร์จี, สีน้ำเงิน)",milk,183.75,6.31,24.01,6.94,0,ถ้วยตวง
"นมถั่วเหลือง เจ (ตรา ยูเอฟซี โฮมซอย, สีเหลือง)",milk,102.12,4.17,16.67,2.08,16.67,ถ้วยตวง
"นมถั่วเหลือง เจ (ตรา ไวตามิ้ลค์, สีเหลือง)",milk,152.55,6.67,18.34,5.84,0,ถ้วยตวง
"นมถั่วเหลือง เจ น้ำตาลน้อย แคลเซียมสูง (ตรา แลคตาซอย, สีส้ม)",milk,136.27,5.56,15.98,5.56,0.69,ถ้วยตวง
"นมถั่วเหลือง เจ น้ำตาลน้อย แคลเซียมสูง (ตรา วีซอย, สีเขียว)",milk,128.73,7.25,12.69,5.44,0.9,ถ้วยตวง
"นมถั่วเหลือง เจ น้ำตาลน้อย (ตรา ไวตามิ้ลค์, สีฟ้า)",milk,153.38,7.5,15.84,6.67,0,ถ้วยตวง
"นมถั่วเหลือง เจ น้ำตาลน้อย โฟเลตสูง ผสมน้ำนมข้าวโพด (ตรา ไวตามิ้ลค์, สีเขียว)",milk,125.06,6.34,12.69,5.44,0,ถ้วยตวง
"นมถั่วเหลือง เจ น้ำตาลน้อย สูตรงาดำ 2 เท่า แคลเซียมสูง (ตรา ดีน่า, สีฟ้า)",milk,94.93,5.79,12.73,2.31,5.79,ถ้วยตวง
