name,category,calories,protein,carbs,fat,fiber,standardUnit

กบ ทอด,single_dish,217.89,29.82,2.34,9.91,0,ถ้วยตวง
กบ รวมกระดูก ย่าง,single_dish,249.71,53.32,0,4.05,0,ถ้วยตวง
กบ ลูกอ๊อด ดิบ,single_dish,57.23,11.06,0.02,1.44,0,ถ้วยตวง
กบ หนัง ทอด,single_dish,36.61,4.37,0,2.13,0,ทัพพี
กบ แห้ง,single_dish,169.33,36.35,0.07,2.63,0,ถ้วยตวง
กระเพาะปลา,single_dish,178.85,15.77,3.67,11.23,0,ถ้วยตวง
กระเพาะปลา แห้ง,single_dish,37.32,8.59,0.59,0.07,0,ทัพพี
กระเพาะปลา แห้ง ทอด,single_dish,91.44,5.13,0,7.88,0,ทัพพี
กระยาสารท,single_dish,242.78,5.23,39.28,7.19,0,ถ้วยตวง
ก๋วยจั๊บญวน (อุบล),single_dish,261.88,14.15,18.21,14.72,0.36,ถ้วยตวง
ก๋วยจั๊บหมู ใส่เครื่องใน,single_dish,163.66,8.88,15.94,7.16,0,ถ้วยตวง
ก๋วยเตี๋ยวน้ำเป็ด,single_dish,136.31,7.6,18.14,3.7,2.34,ถ้วยตวง
ก๋วยเตี๋ยวเนื้อสับ,single_dish,251.33,7.88,34.2,9.22,0,ถ้วยตวง
ก๋วยเตี๋ยวผัดไทย ใส่กุ้งทะเล,single_dish,331.27,10.95,52.12,8.78,1.41,ถ้วยตวง
ก๋วยเตี๋ยวผัดไทย ใส่ไข่เป็ด,single_dish,276.02,9.73,25.9,14.83,2.29,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กเนื้อสด น้ำ,single_dish,149.56,8.97,16.57,5.27,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กลูกชิ้นเนื้อวัว เนื้อสด-เปื่อย น้ำ,single_dish,153.07,11.51,19.3,3.31,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กลูกชิ้นเนื้อวัว เนื้อสด-เปื่อย แห้ง,single_dish,156.7,8.6,18.2,5.5,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กลูกชิ้นเนื้อวัว แห้ง,single_dish,152.7,5.5,17.6,6.7,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กหมูแดงน้ำใส ใส่ลูกชิ้นปลา,single_dish,185.39,11.85,20.79,6.09,0.27,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กหมูตุ๋น ใส่ลูกชิ้นหมู,single_dish,146.21,8.53,20.92,3.16,0.75,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กหมูน้ำตก,single_dish,155.13,9.53,22.53,2.99,0.95,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กหมูน้ำใส ใส่เครื่องใน,single_dish,150.13,9.73,22.42,2.39,0.84,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กหมูน้ำใส ใส่ตับ,single_dish,129.21,7.8,18.33,2.74,0.9,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กหมูเลียง,single_dish,126.62,7.14,19.69,2.15,1.11,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กหมูเลียง ใส่ตับ,single_dish,130.93,5.42,23.23,1.81,0.99,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็กหมู แห้ง,single_dish,209,7.86,21,10.39,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่เนื้อเปื่อย น้ำ,single_dish,156.58,10.53,16.77,5.27,1.56,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่เนื้อสด น้ำ,single_dish,139.62,8.58,17.55,3.9,1.75,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่เนื้อสด-เปื่อย น้ำ,single_dish,170.43,13.46,21.25,3.51,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่ผัดซีอิ๊วหมู ใส่ไข่,single_dish,206.77,3.02,42.71,2.65,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่ลูกชิ้นเนื้อวัว น้ำ,single_dish,98.45,6.16,12.92,2.46,1.4,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่ลูกชิ้นเนื้อวัว เนื้อสด น้ำ,single_dish,129.48,9.32,16.38,2.96,0.57,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่ลูกชิ้นเนื้อวัว เนื้อสด-เปื่อย แห้ง,single_dish,81.1,5.1,9.1,2.7,1,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่ลูกชิ้นเนื้อวัว แห้ง,single_dish,183.25,5.87,21.7,8.11,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นใหญ่ผัดซีอิ๊วหมู ใส่ไข่,single_dish,240.19,7.81,25.17,12.03,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นใหญ่ราดหน้ากุ้ง,single_dish,187.88,5.4,27.9,6.08,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นใหญ่ราดหน้าหมู,single_dish,252.45,6.52,29.25,12.15,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นใหญ่ลูกชิ้นเนื้อวัว น้ำ,single_dish,118.65,8.93,17.55,1.41,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นใหญ่ลูกชิ้นเนื้อวัว เนื้อสด-เปื่อย น้ำ,single_dish,132.6,10.33,15.79,3.12,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นใหญ่ลูกชิ้นเนื้อวัว เนื้อสด-เปื่อย แห้ง,single_dish,162.8,7.7,17.7,6.8,0,ถ้วยตวง
ก๋วยเตี๋ยวเส้นใหญ่หมู น้ำ,single_dish,152.8,13.84,8.44,7.07,3.08,ถ้วยตวง
ก้อยกิ้งก่า แย้,single_dish,340.12,52.19,16.7,7.17,2.63,ถ้วยตวง
ก้อยกุ้งฝอย,single_dish,135.73,17.53,8.64,3.45,0.83,ถ้วยตวง
ก้อยไข่มดแดง,single_dish,142.67,10.2,15.95,4.23,1.13,ถ้วยตวง
ก้อยเนื้อย่าง,single_dish,239.08,45.78,5.15,3.93,0.86,ถ้วยตวง
ก้อยเนื้อวัวปนมัน,single_dish,438.01,27.39,8.82,32.57,0.82,ถ้วยตวง
ก้อยหน่อไม้ไผ่ตง,single_dish,72.18,4.48,12.52,0.46,0.51,ถ้วยตวง
ก้อยหมูปนมัน,single_dish,195.83,25.47,7.73,7,0.59,ถ้วยตวง
ก้อยหอยขม,single_dish,143.64,19.14,12.21,2.03,0.83,ถ้วยตวง
กะทกรก ใบและยอด ลวก (กะเหรี่ยงเมืองกาญฯ),single_dish,79.1,5.8,13.3,0.3,2.5,ถ้วยตวง
กะหรี่ปั๊บไส้เค็ม,single_dish,120.42,1.74,14.49,6.17,0.81,ชิ้น (เล็ก)
กะหรี่ปั๊บไส้หวาน,single_dish,127.82,1.55,12.54,7.94,0.58,ชิ้น (เล็ก)
กั้งตั๊กแตน ดิบ,single_dish,97.76,20.66,0.17,1.61,0.51,ถ้วยตวง
กานพลู,single_dish,351.2,5.4,54.5,12.4,28.85,ถ้วยตวง
กาน่าฉ่าย,single_dish,112.01,0.86,4.08,10.25,2.58,ทัพพี
กาบูยาตง / ยำหัวปลี,single_dish,288.59,11.39,20.03,18.1,7.05,ถ้วยตวง
กาละแม,single_dish,257.43,1.2,54.05,4.05,0,ทัพพี
กิ้งก่า ดิบ,single_dish,158.67,32.36,0,3.25,0,ถ้วยตวง
กิ้งก่า ย่าง,single_dish,184.17,39.12,0.85,2.7,0,ถ้วยตวง
กีวี,single_dish,65.8,1.26,13.3,0.84,2.24,ถ้วยตวง
กุ้งฝอย ชุบแป้งทอด,single_dish,105.3,4.64,8.62,5.81,0.27,ชิ้น (กลาง)
กุ้งหวานทรงเครื่อง ใส่หอมแดง,single_dish,265.14,14.35,28.88,10.25,0.3,ถ้วยตวง
กุยช่าย ดอก ดิบ,single_dish,49.6,3.03,8.77,0.27,3.6,ถ้วยตวง
กุยช่ายทอด,single_dish,47.95,0.49,7.13,1.94,0.59,ชิ้น (เล็ก)
กุยช่ายนึ่ง,single_dish,36.02,0.51,7.64,0.38,0,ชิ้น (เล็ก)
กุยช่าย ใบ ขาว ดิบ,single_dish,19.47,2.53,2.09,0.11,0,ถ้วยตวง
กุยช่าย ใบ ดิบ,single_dish,36.11,2.49,5.93,0.27,3.51,ถ้วยตวง
กุหลาบยามูน (ฮาลาล),single_dish,165.5,1.45,24.52,6.84,0,ทัพพี
เกาลัด พันธุ์พื้นเมือง ภาคเหนือ นึ่ง,single_dish,230.52,6.16,49.63,0.82,10.29,ถ้วยตวง
เกี๊ยวกุ้ง น้ำ,single_dish,252.2,13.65,30.09,8.58,1.36,ถ้วยตวง
แกงกบใส่แตงไทยอ่อน (ไม่ใส่กะทิ อาหารอีสาน),single_dish,46.81,4.7,5.35,0.73,0.95,ถ้วยตวง
แกงกบใส่น้ำเต้า (ไม่ใส่กะทิ อาหารอีสาน),single_dish,45.65,4.07,5.98,0.61,2,ถ้วยตวง
แกงกบใส่บวบกลม (ไม่ใส่กะทิ อาหารอีสาน),single_dish,56.17,5.28,6.91,0.82,2.08,ถ้วยตวง
แกงกบใส่ฟักเขียว (ไม่ใส่กะทิ อาหารอีสาน),single_dish,47.64,5.83,5.38,0.31,2.22,ถ้วยตวง
แกงกบใส่ฟักทอง,single_dish,127.37,3.86,8.33,8.74,1.44,ถ้วยตวง
