name,category,calories,protein,carbs,fat,fiber,standardUnit

อาหารเสริม จากธัญพืช ถั่วเหลือง (ตรา เกษตร-1),single_dish,290.59,10.01,55.51,3.17,0,ถ้วยตวง
อาหารเสริมสำหรับเด็ก สูตรเสริมไอโอดีน (ตรา ซีรีแลค),single_dish,86.39,3.25,14.09,1.89,0,ทัพพี
อาหารเสริมสำหรับเด็ก สูตรรสช็อกโกแลต (ตรา ซีรีแลค),single_dish,85.55,3.25,13.88,1.89,0,ทัพพี
อาหารเสริมสำหรับเด็ก สูตรรสน้ำผึ้ง (ตรา ซีรีแลค),single_dish,88.49,3.46,13.46,2.31,0,ทัพพี
"เครื่องดื่มธัญญาหาร สำเร็จรูป ชนิดผง สูตรมังสวิรัติ โปรตีนถั่วเหลือง (แคลเซียม วิตามินอี วิตามินซี สูง, ไขมันต่ำ) (ตรา เนสวิต้า)",single_dish,413.57,6.27,68.93,12.53,6.27,ถ้วยตวง
"ธัญญาหาร ชนิดแท่ง รสแอปริคอท (แคลเซียม วิตามินอี วิตามินซี สูง, ไขมันต่ำ) (ตรา เนสวิต้า)",single_dish,81.01,1,17,1,0,ชิ้น (กลาง)
"ธัญญาหาร ชนิดแท่ง รสน้ำผึ้ง (แคลเซียม วิตามินอี วิตามินซี สูง, ไขมันต่ำ) (ตรา เนสวิต้า)",single_dish,100.47,1.18,21.27,1.18,0,ชิ้น (กลาง)
เครื่องดื่มธัญญาหาร สำเร็จรูป ชนิดผง รสดั้งเดิม (ตรา เนสวิต้า),single_dish,382.19,9.4,72.06,6.26,3.13,ถ้วยตวง
ถั่วเมล็ดแห้ง (ไบ่ซา) ต้ม (กะเหรี่ยงเมืองกาญฯ),single_dish,143.4,9.2,24.4,1,8.8,100 กรัม
งา ขี้ม่อน คั่ว (น่อง) (กะเหรี่ยงเมืองกาญฯ),single_dish,614.7,18.1,31.4,46.3,29.8,100 กรัม
ถั่วลิสง อบ เคลือบ รสกะทิ,single_dish,709.17,22.24,48.52,47.35,5.89,ถ้วยตวง
เต้าฮวย ชนิดแคลเซียมสูง,single_dish,27.57,1.37,2.87,1.18,0,ทัพพี
โปรตีนเกษตร / โปรตีนถั่วเหลือง แช่น้ำ ต้ม,single_dish,88.49,12.6,4.65,2.17,3.52,ถ้วยตวง
แมคคาเดเมีย รสธรรมชาติ,single_dish,894.33,8.66,13.57,89.49,5.7,ถ้วยตวง
แมคคาเดเมีย อบ ปรุงรสต่างๆ,single_dish,863.02,9.65,17.75,83.71,6.08,ถ้วยตวง
แมคคาเดเมีย อบ ปรุงรสน้ำผึ้ง (ตรา ดอยตุง),single_dish,819.2,8.89,28.16,74.56,8.21,ถ้วยตวง
แมคคาเดเมีย อบ ผสมสมุนไพร (ตรา ดอยตุง),single_dish,837.67,10.83,20.06,79.34,11.06,ถ้วยตวง
เกาลัด พันธุ์พื้นเมือง ภาคเหนือ นึ่ง,single_dish,230.52,6.16,49.63,0.82,10.29,ถ้วยตวง
ถั่วเหลือง ต้ม,single_dish,251.49,19.39,14.4,12.93,10.89,ถ้วยตวง
ทานตะวัน เมล็ดแห้ง ดิบ,single_dish,730.92,27.14,19.6,60.44,12.88,ถ้วยตวง
ขนุน เมล็ด ดิบ,single_dish,213.65,7.7,45.09,0.27,0,ถ้วยตวง
แมงลัก เมล็ด ดิบ,single_dish,37.75,1.33,4.89,1.43,5.11,ช้อนโต๊ะ
ถั่วแระ ต้ม,single_dish,208.68,17.72,12.56,9.73,8.87,ถ้วยตวง
ถั่วปากอ้า ทอด คลุกเกลือ เอาเปลือกออก (จากตลาด),single_dish,632.22,36.63,58.22,28.09,12.47,ถ้วยตวง
ถั่วปากอ้า ทอด อบเกลือ เอาเปลือกออก (บรรจุซอง),single_dish,664.3,29.39,57.44,35.22,14.62,ถ้วยตวง
ถั่วแดง เมล็ดแห้ง คั่ว,single_dish,625.35,40,109.44,3.07,43.59,ถ้วยตวง
ถั่วเล็บมือนาง เมล็ดแห้ง คั่ว,single_dish,588.6,33.46,108.9,2.13,0,ถ้วยตวง
ถั่วเขียว กะเทาะเปลือก ผ่าซีก นึ่ง,single_dish,209.29,13.57,34.22,2.01,4.87,ถ้วยตวง
