name,category,calories,protein,carbs,fat,fiber,standardUnit
ก๋วยเตี๋ยวเส้นเล็ก อบ / ตากแห้ง (เส้นจันท์),starch,352.39,5.5,81.91,0.3,0.32,ถ้วยตวง
ก๋วยเตี๋ยวเส้นเล็ก สด,starch,255.67,4.44,57.15,1.04,0.5,ถ้วยตวง
ก๋วยเตี๋ยวเส้นใหญ่ สด,starch,209.09,3.84,43.28,2.29,0.94,ถ้วยตวง
ขนมจีน,starch,129.24,1.79,29.64,0.39,0.36,ถ้วยตวง
ขนมปังบิสกิต ธรรมดา / ขนมปังกรอบ,starch,239.38,5.24,41.19,5.96,1.37,ถ้วยตวง
ขนมปังแผ่นขาว,starch,104.68,2.69,19.99,1.55,0.81,ถ้วยตวง
ขนมปังแครกเกอร์ ธรรมดา,starch,192.84,3.0,27.48,7.88,1.36,ถ้วยตวง
ขนมไข่,starch,25.57,0.63,5.17,0.26,0.07,ชิ้น (เล็ก)
เค้กเนย,starch,275.17,1.93,35.19,14.08,0.55,ถ้วยตวง
โดนัทโรยน้ำตาล,starch,353.5,6.15,40.34,18.61,2.62,ถ้วยตวง
ข้าวเจ้า ขัดขาว ดิบ,starch,649.79,12.02,147.35,1.37,1.66,ถ้วยตวง
ข้าวเจ้า ขัดขาว นึ่ง,starch,81.43,1.37,18.66,0.15,0.12,ทัพพี
แป้งสาลี เอนกประสงค์,starch,355.38,10.33,76.31,0.98,2.7,ถ้วยตวง
ข้าวเจ้า ซ้อมมือ ดิบ,starch,562.06,10.68,121.73,3.6,2.65,ถ้วยตวง
ข้าวเจ้า ซ้อมมือ นึ่ง,starch,84.66,1.32,19.44,0.18,0.38,ทัพพี
แป้งข้าวเจ้า,starch,354.4,6.4,80.4,0.8,2.4,ถ้วยตวง
ข้าวเหนียว ขัดขาว ดิบ,starch,638.54,11.34,145.79,1.11,0.9,ถ้วยตวง
แป้งข้าวเหนียว,starch,360.8,6.6,82.7,0.4,0.0,ถ้วยตวง
ข้าวเหนียวดำ ดิบ,starch,647.37,13.43,136.79,5.17,8.82,ถ้วยตวง
ข้าวโพดเหลือง ต้ม,starch,211.84,4.19,45.34,1.52,6.35,ถ้วยตวง
แป้งข้าวโพด,starch,354.6,0.5,85.0,1.4,0.0,ถ้วยตวง
ข้าวโพดคั่ว ฉาบน้ำตาล,starch,39.75,0.61,8.54,0.35,0.0,ถ้วยตวง
ข้าวโพดคั่ว ใส่เกลือและน้ำมัน,starch,47.18,0.98,5.91,2.18,0.0,ถ้วยตวง
ข้าวโอ๊ต บดหยาบๆ,starch,266.98,9.72,49.25,3.46,0.0,ถ้วยตวง
บะหมี่เหลือง สด,starch,328.24,13.95,59.96,3.62,0.0,ถ้วยตวง
บะหมี่กึ่งสำเร็จรูป ไม่รวมเครื่องปรุง,starch,412.6,7.52,81.1,6.46,1.4,ถ้วยตวง
ลูกเดือย ดิบ,starch,484.92,18.44,93.44,4.15,4.61,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่ อบ / ตากแห้ง,starch,475.69,8.82,108.04,0.92,1.68,ถ้วยตวง
คุกกี้เนย,starch,25.91,0.42,3.29,1.23,0.12,ชิ้น (กลาง)
ข้าวเม่า ข้าวเจ้า,starch,210.12,4.8,45.3,1.08,0.0,ถ้วยตวง
ข้าวเหนียว หมัก / ข้าวหมาก,starch,373.42,4.23,88.6,0.24,0.0,ถ้วยตวง
ขนมปังกระเทียม,starch,137.97,3.3,17.88,5.92,0.88,ถ้วยตวง
ขนมปังเวเฟอร์,starch,70.63,0.64,9.8,3.21,0.2,ชิ้น (เล็ก)
ข้าวโพด แผ่นอบกรอบ / คอนเฟลก เคลือบน้ำตาล (ตรา เคลลอคส์ ฟรอสตีส์ ซุปเปอร์ชาร์จ),starch,121.04,0.92,29.34,0.0,0.92,ถ้วยตวง
มักกะโรนี แห้ง,starch,408.16,14.6,83.63,1.69,3.58,ถ้วยตวง
มักกะโรนี ต้ม,starch,167.41,6.26,33.33,1.0,1.94,ถ้วยตวง
ข้าวโพดขาว ดิบ,starch,188.47,5.59,39.24,1.02,0.0,ถ้วยตวง
ข้าวโพดเหลือง ดิบ,starch,219.33,5.59,44.96,1.91,8.13,ถ้วยตวง
ขนมปังโฮลวีท,starch,119.64,4.99,19.84,2.26,2.5,ถ้วยตวง
ข้าวเหนียว นึ่ง เคี้ยว / ข้าวย้ำ,starch,348.22,7.14,78.12,0.8,1.39,ถ้วยตวง
ข้าวเหนียวขาว นึ่ง,starch,344.53,6.72,78.73,0.31,0.42,ถ้วยตวง
ข้าวเม่า ข้าวเหนียว,starch,218.44,4.1,47.94,1.14,0.0,ถ้วยตวง
ข้าวเจ้า ข้าวกล้อง ดิบ,starch,561.19,11.62,119.19,4.22,6.06,ถ้วยตวง
ข้าวเจ้า ข้าวกล้อง นึ่ง,starch,85.32,1.68,17.76,0.84,0.84,ทัพพี
จมูกข้าวสาลี อบ,starch,329.95,23.36,39.81,8.59,12.12,ถ้วยตวง
ข้าวสาลีกล้อง ดิบ,starch,207.72,6.3,41.58,1.8,1.26,ทัพพี
ข้าวฟ่าง เมล็ดใหญ่ ดิบ,starch,499.77,12.45,101.0,5.11,19.26,ถ้วยตวง
ข้าวฟ่าง เมล็ดเล็ก ดิบ,starch,447.63,11.53,96.55,1.7,2.23,ถ้วยตวง
มอลต์ ธัญพืช แห้ง,starch,550.53,17.99,117.79,0.82,4.42,ถ้วยตวง
มอลต์ รสช็อกโกแลต พร้อมบริโภค,starch,96.61,3.06,20.59,0.22,0.89,ถ้วยตวง
เกี๊ยวกึ่งสำเร็จรูป พร้อมเครื่องปรุง,starch,536.58,13.3,74.35,20.66,0.58,ถ้วยตวง
บะหมี่กึ่งสำเร็จรูป พร้อมเครื่องปรุง รสต่างๆ,starch,536.97,12.57,69.23,23.31,4.5,ถ้วยตวง
บะหมี่ อบ / ตากแห้ง (หมี่ซั่ว),starch,399.13,14.64,83.0,0.95,5.47,ถ้วยตวง
บะหมี่กึ่งสำเร็จรูป (ชนิดต้องต้ม),starch,487.05,16.49,101.08,1.86,5.05,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่กึ่งสำเร็จรูป พร้อมเครื่องปรุง รสต่างๆ,starch,463.46,8.61,93.14,6.27,2.51,ถ้วยตวง
บะหมี่ญี่ปุ่น อุด้ง สด,starch,354.98,9.04,75.81,1.73,0.13,ถ้วยตวง
บะหมี่ญี่ปุ่น อุด้ง ต้ม,starch,127.28,3.33,27.0,0.67,0.13,ถ้วยตวง
เค้กกล้วยหอม,starch,294.59,4.81,42.01,11.93,1.25,ถ้วยตวง
คุกกี้บราวนี่,starch,40.05,0.71,5.67,1.61,0.07,ชิ้น (กลาง)
เค้กชิฟฟอน,starch,229.36,4.97,34.36,8.0,0.21,ถ้วยตวง
เค้กช็อกโกแลต,starch,257.37,3.86,40.92,8.69,0.97,ถ้วยตวง
เค้กผลไม้,starch,302.95,4.15,44.32,12.12,2.16,ถ้วยตวง
คุกกี้ผสมช็อกโกแลตชิพ,starch,70.25,0.89,9.6,3.14,0.13,ชิ้น (กลาง)
มักกะโรนี โฮลวีท แห้ง,starch,415.79,16.39,84.03,1.57,9.3,ถ้วยตวง
มักกะโรนี โฮลวีท ต้ม,starch,142.93,5.76,28.66,0.58,3.02,ถ้วยตวง
ปลายข้าวสาร ข้าวเจ้า ดิบ,starch,499.24,8.4,112.0,1.96,1.92,ถ้วยตวง
ก๋วยเตี๋ยวเส้นหมี่ขาว แช่น้ำ (จากแห้ง 47 กรัม),starch,211.18,3.55,47.38,0.83,0.81,ถ้วยตวง
ก๋วยจั๊บ แผ่น แห้ง,starch,292.91,4.62,68.04,0.25,0.27,ถ้วยตวง
ก๋วยจั๊บ แผ่น ต้ม,starch,198.92,2.49,46.99,0.11,0.65,ถ้วยตวง
ก๋วยจั๊บญวน เส้น แห้ง,starch,171.21,2.7,39.77,0.15,0.16,ถ้วยตวง
ก๋วยจั๊บญวน เส้น สด,starch,52.75,1.03,11.83,0.14,0.05,ทัพพี
โจ๊ก เปล่า ข้นปานกลาง / ปลายข้าวสาร ข้าวเจ้า ตุ๋น,starch,134.79,2.27,30.24,0.53,0.52,ถ้วยตวง
บะหมี่ อบ / ตากแห้ง (หมี่ซั่ว) ต้ม,starch,143.69,5.27,29.88,0.34,1.97,ถ้วยตวง
เกี๊ยว แผ่น,starch,328.35,13.97,59.95,3.63,0.0,ถ้วยตวง
เกี๊ยว แผ่น ไม่มีหมู ทอด,starch,43.4,0.64,3.97,2.77,0.0,ทัพพี
ขนมปังลูกเกด,starch,64.49,1.82,12.03,1.01,0.99,ชิ้น (กลาง)
ข้าวตัง / ข้าวตากแห้ง ทอด,starch,302.83,2.13,22.77,22.58,0.34,ถ้วยตวง
ขนมนางเล็ด / ข้าวพอง / ข้าวแต๋น ชนิดไม่มีน้ำตาล,starch,49.34,0.54,6.63,2.3,0.12,ทัพพี
ข้าวตอก,starch,39.01,0.71,8.85,0.09,0.07,ถ้วยตวง
บะหมี่ กลม / บะหมี่ เจ / สปำ,starch,354.98,9.04,75.81,1.73,0.13,ถ้วยตวง
บะหมี่เหลือง ทอด,starch,177.75,3.04,14.13,12.12,0.0,ถ้วยตวง
เกี้ยมอี๋,starch,73.02,0.73,12.09,2.41,0.27,ทัพพี
ลูกเดือย ต้ม,starch,195.18,6.01,35.76,3.12,1.0,ถ้วยตวง
แพนเค้ก,starch,163.24,4.62,20.43,7.0,0.0,ถ้วยตวง
ข้าวมัน (กินกับส้มตำ),starch,346.78,4.81,53.6,12.57,0.49,ถ้วยตวง
ข้าวต้ม เปล่า (มีน้ำข้าว 42%),starch,206.2,3.81,46.76,0.43,0.53,ถ้วยตวง
โจ๊ก เปล่า ข้นหนืด,starch,232.15,3.91,52.08,0.91,0.89,ถ้วยตวง
โจ๊ก เปล่า เหลวมาก,starch,134.79,2.27,30.24,0.53,0.52,ถ้วยตวง
ขนมปังหน้าช็อกโกแลต,starch,195.88,3.91,31.84,5.88,1.03,ถ้วยตวง
ขนมปังไส้เผือก,starch,193.76,3.35,25.82,8.56,1.28,ถ้วยตวง
ขนมปังไส้คัสตาส (ไส้ครีม),starch,198.9,5.15,30.15,6.41,0.86,ถ้วยตวง
ขนมปังไส้สังขยา,starch,179.87,4.19,24.21,7.36,0.61,ถ้วยตวง
ขนมปังไส้ถั่วแดง,starch,207.17,4.43,27.26,8.93,2.85,ถ้วยตวง
พัฟเค้ก สอดไส้ครีมคัสตาร์ด (ตรา ยูโร่),starch,301.62,6.08,36.21,14.72,0.38,ถ้วยตวง
ขนมปังเนยสด,starch,136.11,3.91,21.12,4.0,0.94,ถ้วยตวง
คุกกี้ไส้ครีม,starch,543.71,4.99,68.22,27.87,3.22,ถ้วยตวง
บะหมี่กึ่งสำเร็จรูป แช่น้ำ ต้ม,starch,148.54,2.71,29.19,2.32,0.5,ถ้วยตวง
บะหมี่กึ่งสำเร็จรูป (ชนิดต้องต้ม) ต้ม,starch,185.08,6.27,38.41,0.71,1.92,ถ้วยตวง
แครกเกอร์ไส้ครีม,starch,401.3,5.7,53.25,18.39,1.25,ถ้วยตวง
แครกเกอร์ไส้สับปะรด,starch,27.65,0.23,5.07,0.72,0.18,ชิ้น (เล็ก)
ข้าวโพดและข้าวสาลี แผ่นอบกรอบ / ซีเรียล รสช็อกโกแลต (ตรา เคลลอคส์),starch,124.84,2.08,26.83,1.02,0.0,ถ้วยตวง
ข้าวมัน (ข้าวมันไก่),starch,118.4,2.02,22.45,2.28,0.39,ทัพพี
ข้าวหมก (สำหรับข้าวหมกไก่) (ฮาลาล),starch,106.47,2.02,20.33,1.9,0.0,ทัพพี
โดนัทไส้ครีม,starch,47.59,0.83,3.9,3.19,0.1,ชิ้น (เล็ก)
ขนมปังหวาน ไม่มีไส้,starch,99.52,2.96,16.85,2.25,0.61,ชิ้น (กลาง)
