name,category,calories,protein,carbs,fat,fiber,standardUnit

กระเจี๊ยบเปรี้ยว ใบ ดิบ,vegetable,18.29,0.54,3.96,0.03,0,ถ้วยตวง
กระเจี๊ยบมอญ ฝักอ่อน ดิบ,vegetable,25.76,1.71,4.22,0.23,2.39,ถ้วยตวง
กระเจียว ดอก ดิบ,vegetable,32.04,1.23,5.48,0.58,0,ถ้วยตวง
กระชาย ดิบ,vegetable,28.35,0.43,5.47,0.53,0.74,ถ้วยตวง
กระโดน / จิก ดอก ดิบ,vegetable,62.73,2.18,13.09,0.18,0,ถ้วยตวง
กระถิน ฝักแก่ ดิบ,vegetable,119.79,8.71,18.53,1.2,13.44,ถ้วยตวง
กระถิน ฝักอ่อน ดิบ,vegetable,14.21,0.85,2.52,0.08,1.78,ทัพพี
กระถิน เมล็ด ดิบ,vegetable,48.52,3.78,7.36,0.44,0,ทัพพี
กระถิน ยอดอ่อน ดิบ,vegetable,21.68,2.45,2.77,0.09,1.65,ถ้วยตวง
กระท้อนกวน,vegetable,834.9,1.84,205.85,0.46,8.74,ถ้วยตวง
กระท้อน / สะท้อน,vegetable,60.18,0.41,14.18,0.2,0,ถ้วยตวง
กระเทียมจีน หัวใหญ่,vegetable,152.91,7.26,30.7,0.12,5.59,ถ้วยตวง
กระเทียมจีน หัวใหญ่ เผา,vegetable,198.26,9.41,39.81,0.15,7.25,ถ้วยตวง
กระเทียมเจียว กรอบแห้ง,vegetable,294.95,7.12,30.09,16.23,5.48,ถ้วยตวง
กระเทียม ดอก ดิบ,vegetable,56.7,1.76,11.84,0.25,0,ถ้วยตวง
กระเทียม ดอง,vegetable,5.39,0.18,1.14,0.01,0.26,ช้อนโต๊ะ
กระเทียมไทย หัวเล็ก,vegetable,152.91,7.26,30.7,0.12,5.59,ถ้วยตวง
กระเทียมไทย หัวเล็ก คั่ว,vegetable,198.26,9.41,39.81,0.15,7.25,ถ้วยตวง
กระเทียมไทย หัวเล็ก เผา,vegetable,198.26,9.41,39.81,0.15,7.25,ถ้วยตวง
กระเทียม ใบและต้น ดิบ,vegetable,58.19,2.86,10.45,0.55,0,ถ้วยตวง
กระเทียม หัว,vegetable,159.36,7.49,31.8,0.25,5.58,ถ้วยตวง
กระวาน ใบ,vegetable,86.28,2.2,16.08,1.46,0,ถ้วยตวง
กะเพรา ใบ ดิบ,vegetable,42.06,2.78,6.88,0.38,3.44,ถ้วยตวง
กะหล่ำดอก ดิบ,vegetable,33.89,2.62,5.32,0.24,2.07,ถ้วยตวง
กะหล่ำดอก ต้ม,vegetable,29.52,1.95,4.36,0.48,2.44,ถ้วยตวง
