name,category,calories,protein,carbs,fat,fiber,standardUnit

อาหารเสริมสำหรับเด็ก สูตรผักรวม ฟักทอง (ตรา ซีรีแลค),vegetable,83.33,3.25,13.8,1.68,0,ทัพพี
ถั่วฝักยาว เมล็ดแห้ง ดิบ,vegetable,171.95,13.64,27.45,0.84,0,ทัพพี
ฟักทอง เมล็ด แกะเปลือก คั่ว,vegetable,628.08,26.63,15.6,51.02,5.44,ถ้วยตวง
ฟักทอง เมล็ด แกะเปลือก ต้มใส่เกลือ อบ,vegetable,588.82,23.84,16.5,47.5,6.12,ถ้วยตวง
ฟักทอง เมล็ด แกะเปลือก ดิบ,vegetable,413.33,17.52,9.8,33.78,6.99,ถ้วยตวง
ฟักทอง เมล็ด อบเกลือ,vegetable,620.88,34.74,14.25,47.22,9.72,ถ้วยตวง
กะหล่ำดอก ดิบ,vegetable,33.89,2.62,5.32,0.24,2.07,ถ้วยตวง
กะหล่ำดอก ต้ม,vegetable,29.52,1.95,4.36,0.48,2.44,ถ้วยตวง
กะหล่ำปม ดิบ,vegetable,49.42,2.8,9.24,0.14,5.46,ถ้วยตวง
กะหล่ำปม ต้ม,vegetable,40.46,2.38,7.42,0.14,1.26,ถ้วยตวง
กะหล่ำปลี ดิบ,vegetable,21.7,1.18,3.94,0.14,1.31,ถ้วยตวง
ขิง อ่อน ดิบ,vegetable,15.5,0.63,2.39,0.38,0.76,ถ้วยตวง
ฟักทอง ดอก ดิบ,vegetable,18.79,1.31,2.93,0.2,0,ถ้วยตวง
แตงกวา ดิบ,vegetable,28.04,1.03,5.69,0.13,1.29,ถ้วยตวง
แตงกวา ดอง เปรี้ยว,vegetable,15.93,0.43,2.96,0.26,1.57,ถ้วยตวง
ถั่วงอก ดิบ,vegetable,11.79,1.15,1.72,0.03,0.66,ทัพพี
ถั่วงอก ต้ม,vegetable,14.04,0.75,2.69,0.03,0.44,ทัพพี
ถั่วงอกหัวโต (ถั่วเหลือง) ดิบ,vegetable,27.13,3.09,1.09,1.16,0.2,ทัพพี
ถั่วงอกหัวโต (ถั่วเหลือง) สุก,vegetable,15.06,1.63,1.6,0.24,0.14,ทัพพี
ถั่วฝักยาว ดิบ,vegetable,13.93,0.94,2.31,0.1,1.39,ทัพพี
ถั่วฝักยาว ต้ม,vegetable,43.55,2.81,7.86,0.1,3.49,ถ้วยตวง
บวบงู ดิบ,vegetable,16.53,1.03,2.85,0.11,0,ถ้วยตวง
บวบหอม / บวบกลม ดิบ,vegetable,40.41,1.61,8.01,0.21,2.32,ถ้วยตวง
บวบเหลี่ยม / บวบหวาน ดิบ,vegetable,36.7,1.28,7.64,0.11,1.86,ถ้วยตวง
ผักกระสัง ดิบ,vegetable,11.63,0.68,1.71,0.23,0,ถ้วยตวง
ผักกระเฉด ดิบ,vegetable,35.92,3.26,5.02,0.31,3.71,ถ้วยตวง
ผักกระโดน ดิบ,vegetable,15.32,0.65,3,0.08,1.67,ถ้วยตวง
ผักกวางตุ้ง / กะจ้อน / กาดจอ ดิบ,vegetable,8.31,0.64,1.29,0.06,0.84,ทัพพี
ผักกวางตุ้ง ดอก ดิบ,vegetable,15.14,1.86,1.28,0.29,0,ถ้วยตวง
ผักกาด ดอง,vegetable,12.38,0.86,2.24,0,0.86,ถ้วยตวง
ผักกาดขาว ดิบ,vegetable,16.88,2.11,1.83,0.13,2.6,ถ้วยตวง
ผักกาดหอม / หอมปลี / ผักสลัด ดิบ,vegetable,5.06,0.45,0.72,0.04,0.45,ถ้วยตวง
ผักกาดเขียว ดิบ,vegetable,28.54,3.08,2.95,0.49,2.95,ถ้วยตวง
ผักกาดเขียว ต้ม,vegetable,25.86,2.18,3.71,0.26,2.43,ถ้วยตวง
ผักกุ่ม ดอง,vegetable,14.88,0.57,2.65,0.22,0,ทัพพี
ผักกูด ดิบ,vegetable,7.68,0.68,0.88,0.16,0,ทัพพี
ผักคะน้า ดิบ,vegetable,22.63,2,3.08,0.26,2.39,ถ้วยตวง
ผักขึ้นฉ่าย / ชีจีน ดิบ,vegetable,22.28,1.32,3.9,0.16,2.24,ถ้วยตวง
ผักชี ดิบ,vegetable,7.23,0.47,1.21,0.06,0.6,ถ้วยตวง
ผักชีฝรั่ง / หอมเป ดิบ,vegetable,12.74,0.78,2.17,0.11,1.25,ถ้วยตวง
